"StockID","Title","Make","Model","Category","Image","Specification","Location","Country","Del","Myear","Videos"
"402","Dixi Jig Boring Machine ","Dixi","A60","Boring Jig",NULL,"Table Size: 600mm X 700mm
Spindle Size:60mm","Navi Mumbai","Switzerland","n"," 1989","https://youtu.be/cLGKf4tZBj0"
"1942","WMW Make Facing & Centering Machine"," FXLZD160","WMW","Facing & Centering",NULL,"Model : FXLZD160/C
Smallest Workpiece Dia:20mm
Largest Workpiece Dia: 160mm
Smallest Workpiece Length:120mm
Largest Workpiece Length:1600mm
","Rabale, Navi Mumbai","Germany",NULL,,"https://youtu.be/-PId0omjHEw"
"523","Jungner Make Optical Tool and Cutter Machine","Junger","OSM-2","Grinder Tool Cutter",NULL,"With Optical Attachment","Navi Mumbai","Sweden","n"," ",
"1921","Mollart Make CNC Gun Drilling Machine","Mollart","Omnisprint LD2-750","Gun Drilling",NULL,"Spindle Capacity: 2
Spindles (Currently Configured): 2
Capacity: 0.07 – 1″ Dia.
Stroke: 30″
Knee Travel:
– X-Axis Cross: 11-3/4″
– Y-Axis Vertical: 11-3/4″
Spindle Center:
– Distance: 19-5/8″
– Height From Table: 1-1/2″ – 13-3/8″
Rapid Traverse Rates:
– X-Axis: 6.56 IPS
– Y-Axis: 2.63 IPS
– Z-Axis: 6.56 IPS
Work Table Dimensions: 23-5/8″ x 30″
Table Capacity – Maximum: 1,500 Lbs.
Spindle:
– Power: 5-1/3 HP
– Speeds – Variable: 0 – 6,000 RPM
Drill Feed – Infinitely Variable: 0 – 39.5 IPM
Coolant:
– Capacity: 317 Gals.
– Delivery: 15-1/2 GPM
– Pressure – Maximum: 1,450 PSI
Electrics: 460V/3Ph/60Hz
Machine Weight – Approximate: 13,000 Lbs.
Coolant System Weight – Catalog: 2,200 Lbs.
EQUIPPED WITH:
GE Fanuc Powermate iH
High Pressure Coolant
Coolant Chiller
Chip Conveyor
Enclosure
Operation, Service, & Electrical Manuals
","Rabale, Navi Mumbai","UK",NULL,"2006","https://youtu.be/uMwWli010bU"
"1985","Doosan Make Bed Milling Machine","Doosan","DMB-U5","Milling Bed",NULL,"Table Size : 2000mm x 450mm
X Travel : 1400mm
Y Travel : 500mm
Vertical Travel : 700mm
with Universal Milling Head
Spindle Taper : ISO 50","Rabale, Navi Mumbai","Korea",NULL,,"https://youtu.be/OxrJcUhqhlo"
"1899","K.O.Lee Hydraulic Surface Grinder","K. O. Lee","450x150","Grinder Surface",NULL,"Capacity : 450mm x 150mm
Magnet Size : 350mm x 150mm","Rabale, Navi Mumbai","Japan",NULL,,
"1970","C H Bach Make Double Disk Grinder","C H Bach","600","Grinder Double Disk",NULL,"Capacity : 600mm","Rabale, Navi Mumbai","Germany",NULL,,
"1901","CINCINNATI MILACRON LR 220-8 CENTERLESS GRINDER ","Cincinnati","LR 220-8","Grinder Centreless",NULL,"Wheel Dia : 600mm
Wheel Width : 300mm
Range 110 to 300 rpm, 
Low range 11 to 56 rpm, 
High range 56 to 300 rpm, 
20 hp, 460 V, 3 Ph, 60 Hz, 56 full load amps, 
","Rabale, Navi Mumbai","USA",NULL,"1979",
"1957","Niigata Make Bed Milling","Niigata","2UMB","Milling Bed",NULL,"Table Size : 1350mm x 300mm
X Travel : 900mm
Y Travel : 300mm
Z Travel : 350mm
Spindle Taper : ISO50","Rabale, Navi Mumbai","Japan",NULL,,"https://youtube.com/shorts/w18yWsF-RZA"
"1063","Reishauer Make Gear Grinding Machine","Reishauer","NZA","Gear Grinder",NULL,"Max. Wheel Diameter: 300 mm<br>Gear width: 170 mm<br>Max. module: 5, Min. module: 0,5<br>Clamping length max.: 420 mm<br>Max. angle of teeth: 45 grad<br>Min. number of teeth: 12, Max. number of teeth: 130<br>Slide stroke: 200 mm<br>Helical lead min./max: 200-6.000 mm<br>Max. dia. of grinding wheel 350 mm<br>Max. width of grinding wheel: 84 mm<br>Weight of machine.: 4 600 kg
Fassler Attachment and Change gear set available","Navi Mumbai","Switzerland","n"," ","https://youtube.com/shorts/W9E-sbR6SgQ"
